variable,n_total,n_valid,coverage,first_valid,last_valid
gold_px,2265,2265,1.0,2017-08-17,2026-08-25
btc_px,2265,2265,1.0,2017-08-17,2026-08-25
sp500,2265,2265,1.0,2017-08-17,2026-08-25
real10y,2265,2265,1.0,2017-08-17,2026-08-25
usd_broad,2265,2265,1.0,2017-08-17,2026-08-25
vix,2265,2265,1.0,2017-08-17,2026-08-25
baa10y,2265,2265,1.0,2017-08-17,2026-08-25
hy_oas_recent,2265,751,0.3315673289183223,2023-08-28,2026-08-25
nfci_ex_post,2265,2262,0.9986754966887417,2017-08-18,2026-08-25
btc_r,2265,2262,0.9986754966887417,2017-08-18,2026-08-25
gold_r,2265,2264,0.9995584988962473,2017-08-18,2026-08-25
equity,2265,2264,0.9995584988962473,2017-08-18,2026-08-25
usd,2265,2264,0.9995584988962473,2017-08-18,2026-08-25
real_rate,2265,2264,0.9995584988962473,2017-08-18,2026-08-25
risk_aversion,2265,2264,0.9995584988962473,2017-08-18,2026-08-25
credit_baa,2265,2264,0.9995584988962473,2017-08-18,2026-08-25
hy_oas_recent_change,2265,750,0.33112582781456956,2023-08-29,2026-08-25
liquidity_stress_ex_post,2265,2139,0.9443708609271523,2018-02-16,2026-08-25
inflation_yoy_same_day_available,2265,2247,0.9920529801324504,2017-09-14,2026-08-25
inflation_acceleration_same_day_available,2265,2247,0.9920529801324504,2017-09-14,2026-08-25
inflation_yoy_available,2265,2246,0.9916114790286976,2017-09-15,2026-08-25
inflation_acceleration_available,2265,2246,0.9916114790286976,2017-09-15,2026-08-25
