model,sample,horizon,winsorized,factor,factor_label,n,btc_beta,btc_se,btc_p,gold_beta,gold_se,gold_p,delta_beta,delta_se,delta_t,delta_p,btc_r2,gold_r2
core,full,1,False,equity,Actions américaines,2262,0.8560203349360482,0.09145817926590975,7.996991180481012e-21,0.010853030485658634,0.02841424691734371,0.7024929993970195,0.84516730445039,0.09885318755643313,8.549722324006016,1.2338498665957686e-17,0.07761116910942589,0.20245903555716427
core,full,1,False,usd,Dollar large,2262,-0.8869499165556372,0.3066708616775498,0.003825684300356634,-1.0271087654876232,0.11140511328985289,2.982559332281936e-20,0.1401588489319862,0.30714549641204214,0.4563272148518179,0.6481546966330567,0.07761116910942589,0.20245903555716427
core,full,1,False,real_rate,Taux réel US 10 ans,2262,-0.01635724484597861,0.01780836677208174,0.35834951998116205,-0.057385630347154576,0.005615510469492547,1.6279571172193764e-24,0.041028385501175955,0.018027641022024397,2.2758599115131877,0.022854395536290973,0.07761116910942589,0.20245903555716427
core,full,1,True,equity,Actions américaines,2262,0.9240403398416126,0.09363479187386854,5.697800356336788e-23,-0.024773771388901404,0.025592441539704233,0.3330387499914823,0.9488141112305142,0.09374670076925527,10.121040030687489,4.456546191688995e-24,0.07717249263414117,0.22806084596317477
core,full,1,True,usd,Dollar large,2262,-0.904032179867879,0.2812330738509716,0.0013065821734790724,-1.0828561728499535,0.09411550549878725,1.2361420953240584e-30,0.17882399298207458,0.29204414186789157,0.6123183702242074,0.540327137861716,0.07717249263414117,0.22806084596317477
core,full,1,True,real_rate,Taux réel US 10 ans,2262,-0.005862866274627846,0.01653755158475723,0.7229504195094837,-0.06322515024267242,0.005369536281443719,5.264942787888886e-32,0.05736228396804457,0.016461581121228475,3.4846156967310686,0.0004928443402550369,0.07717249263414117,0.22806084596317477
core,pre_covid,1,False,equity,Actions américaines,632,0.13278790153691677,0.3457273572871096,0.7009171433045436,-0.07078679452677686,0.031763917920107965,0.025845296844472326,0.20357469606369388,0.3436381683360994,0.5924100254910719,0.5535760545395296,0.0011011643065934607,0.3224538519115654
core,pre_covid,1,False,usd,Dollar large,632,0.35772783393613494,0.8168578968660717,0.6614359137189698,-1.008635162179279,0.10306287549408828,1.2854553488837002e-22,1.3663629961154156,0.8184459856228103,1.6694601966624083,0.09502621235257733,0.0011011643065934607,0.3224538519115654
core,pre_covid,1,False,real_rate,Taux réel US 10 ans,632,-0.046957793613699735,0.058393291667587444,0.4213021618037224,-0.09283007080266176,0.009308898955393198,2.0173918328328344e-23,0.04587227718896199,0.05824628617674498,0.7875571165132352,0.43095580685660173,0.0011011643065934607,0.3224538519115654
core,post_covid,1,False,equity,Actions américaines,1630,0.9953696286552379,0.09493161367706282,1.0111420307630756e-25,0.03421477729784958,0.03218289642269584,0.28772054104556943,0.9611548513573882,0.10653714968654257,9.021781173847176,1.8505558000274715e-19,0.15291612905701668,0.1938625172487647
core,post_covid,1,False,usd,Dollar large,1630,-1.163352576558563,0.32056862338820463,0.0002844901577383805,-1.034613233378799,0.13565269647560815,2.4041536224580472e-14,-0.128739343179764,0.31808367216193695,-0.404734208155842,0.6856728942747223,0.15291612905701668,0.1938625172487647
core,post_covid,1,False,real_rate,Taux réel US 10 ans,1630,0.0010915878142993148,0.018529022380778033,0.9530219400607394,-0.051943151480091605,0.006180817497540985,4.317837629629946e-17,0.05303473929439095,0.018809986464193098,2.8194990674420994,0.004809867074630471,0.15291612905701668,0.1938625172487647
core,pre_etf,1,False,equity,Actions américaines,1605,0.7675443302660389,0.10440935318159296,1.9629038316330236e-13,-0.012719150736085866,0.030306810449185973,0.6747195141045674,0.7802634810021245,0.1117942846352932,6.979457702579163,2.9632162501738273e-12,0.06330655516598116,0.27961364342766515
core,pre_etf,1,False,usd,Dollar large,1605,-0.8754880353107773,0.3931139985538497,0.025943336535889837,-0.8119049305704227,0.1089385944770082,9.133287096425061e-14,-0.06358310474035468,0.3859246484426044,-0.16475523135654527,0.8691366425966366,0.06330655516598116,0.27961364342766515
core,pre_etf,1,False,real_rate,Taux réel US 10 ans,1605,-0.03007706838081422,0.02089919756784496,0.15010818813781193,-0.06461538175321059,0.00589011232371078,5.318748246174399e-28,0.03453831337239639,0.020941556979562147,1.6492715133886158,0.09909202289428141,0.06330655516598116,0.27961364342766515
core,post_etf,1,False,equity,Actions américaines,657,1.2455230046622976,0.1960496504172343,2.110186425087613e-10,0.16142545430431632,0.07176924524000536,0.024497942195115353,1.0840975503579808,0.22099950647207825,4.905429734500104,9.322300949509076e-07,0.1791894298236898,0.17223935761987075
core,post_etf,1,False,usd,Dollar large,657,-1.1680394542500467,0.38888928689014446,0.0026686991070776927,-1.6962125306222262,0.254634657214353,2.713094403063108e-11,0.528173076372179,0.4357701019377219,1.2120452367511503,0.22549506483970994,0.1791894298236898,0.17223935761987075
core,post_etf,1,False,real_rate,Taux réel US 10 ans,657,0.05280083474016697,0.030053550591305527,0.07893626411691172,-0.022218742820413747,0.013176237064236058,0.09174308264156135,0.07501957756058075,0.03231699961729725,2.3213657966077865,0.02026710988844086,0.1791894298236898,0.17223935761987075
risk_extension,full,1,False,equity,Actions américaines,2262,0.8568151206193517,0.0877157604215968,1.5433968070903075e-22,0.010802824682914715,0.028041144958304245,0.700052899868171,0.8460122959364371,0.09328844643773578,9.068778913593524,1.203582285395932e-19,0.08067349693625592,0.2026421889738328
risk_extension,full,1,False,usd,Dollar large,2262,-0.8744906416468122,0.3043888236511362,0.00406672126970348,-1.027895805203544,0.111553191148341,3.130218906458456e-20,0.15340516355673214,0.3062003019588296,0.5009961210859889,0.6163738528173399,0.08067349693625592,0.2026421889738328
risk_extension,full,1,False,real_rate,Taux réel US 10 ans,2262,-0.017687841536527103,0.01783394617920951,0.32129143942120686,-0.057301577908389606,0.005611756243117146,1.770519742245039e-24,0.0396137363718625,0.017950405293136892,2.206843562858623,0.027324990432586408,0.08067349693625592,0.2026421889738328
risk_extension,full,1,False,risk_aversion_orth,Aversion au risque orthogonalisée,2262,-0.041403040059227965,0.021358877420844576,0.05256877836701491,0.002615387903777573,0.004239453177436763,0.5372899137978144,-0.04401842796300555,0.021550619304028667,-2.04255976786601,0.041096037197436694,0.08067349693625592,0.2026421889738328
core,full,5,False,equity,Actions américaines,2250,1.0653146787651788,0.17389042684048853,8.99144448487886e-10,-0.08306311975187267,0.036254441688345046,0.021956724110713983,1.1483777985170514,0.1791346003098942,6.410697858093374,1.448550238087734e-10,0.10305531113865563,0.2888538232786737
core,full,5,False,usd,Dollar large,2250,-0.06667476361157515,0.5868825918356377,0.9095482669109826,-1.2551349686775506,0.1462984020407875,9.54687462716134e-18,1.1884602050659758,0.5779993786918165,2.056161734560706,0.039766929301301684,0.10305531113865563,0.2888538232786737
core,full,5,False,real_rate,Taux réel US 10 ans,2250,-0.08609935053577794,0.03234148871999797,0.007763288281255636,-0.06444240240327678,0.008900792983778836,4.4843904962601224e-13,-0.02165694813250115,0.03127712349579832,-0.6924213518359666,0.4886727607983511,0.10305531113865563,0.2888538232786737
core,full,5,True,equity,Actions américaines,2250,1.0546399653399388,0.17524495547016042,1.7648674778746548e-09,-0.09917192152236542,0.03476223331332721,0.004332716948478814,1.1538118868623042,0.17698480588361296,6.519270855494018,7.064997801504698e-11,0.08654263189447031,0.2879621872196414
core,full,5,True,usd,Dollar large,2250,-0.24516890232649072,0.543144847896947,0.6517101484900184,-1.292231367695114,0.12517551912414862,5.525762650133803e-25,1.0470624653686231,0.5469784646257929,1.914266343346726,0.05558613257277962,0.08654263189447031,0.2879621872196414
core,full,5,True,real_rate,Taux réel US 10 ans,2250,-0.06184625479330563,0.030510817690701006,0.04265963963540912,-0.06594646941398104,0.008266928098142766,1.4975902047834026e-15,0.004100214620675384,0.02946410672677217,0.13915964460411684,0.8893239970935103,0.08654263189447031,0.2879621872196414
core,pre_covid,5,False,equity,Actions américaines,620,0.8535260320619178,0.5090029189562048,0.09357009317049741,-0.053685944389060145,0.042219596655033734,0.20351944226187169,0.9072119764509778,0.5054674117827148,1.794798151776718,0.07268586540104555,0.022590376579763705,0.4141523254733026
core,pre_covid,5,False,usd,Dollar large,620,1.1016702217895968,1.5180866048415191,0.4680248131769803,-0.9901078037830877,0.13539386440727819,2.6163873635262407e-13,2.0917780255726837,1.502386925221594,1.392303134736185,0.1638306226698537,0.022590376579763705,0.4141523254733026
core,pre_covid,5,False,real_rate,Taux réel US 10 ans,620,-0.16619445528066823,0.11185536503974074,0.13733261228575758,-0.10580949025680611,0.013873993919201612,2.4128362405227442e-14,-0.06038496502386206,0.11017750375108083,-0.5480698234032162,0.5836439601246117,0.022590376579763705,0.4141523254733026
core,post_covid,5,False,equity,Actions américaines,1630,1.1460864897680934,0.16649448310432632,5.8346127208198455e-12,-0.07896772585184927,0.045563175174761134,0.08306936700501141,1.2250542156199427,0.1773425827264702,6.907840163292551,4.920879566862881e-12,0.16680827787117125,0.27934036558310793
core,post_covid,5,False,usd,Dollar large,1630,-0.3453046162338975,0.6095865486962024,0.5710831018472348,-1.323680255748473,0.18450268566514594,7.267048877513556e-13,0.9783756395145756,0.596102786617673,1.641286807374185,0.10073789333532622,0.16680827787117125,0.27934036558310793
core,post_covid,5,False,real_rate,Taux réel US 10 ans,1630,-0.06291584980546917,0.03335096233275404,0.059230598218155184,-0.058522926071690184,0.0104350752825633,2.0433569371757888e-08,-0.004392923733779013,0.0314179337645283,-0.13982217184310014,0.8888004947823394,0.16680827787117125,0.27934036558310793
core,pre_etf,5,False,equity,Actions américaines,1593,1.031658918763374,0.2138688257367377,1.4085368545662068e-06,-0.11480971624073862,0.035012873073832836,0.0010414922329700944,1.1464686350041127,0.21674682300789597,5.289436860453302,1.2269352635103907e-07,0.09862380818885585,0.39780770428402357
core,pre_etf,5,False,usd,Dollar large,1593,0.1521764923479012,0.7383650513354427,0.8367133750441703,-1.0710380288022834,0.13253071285025828,6.40102809022812e-16,1.2232145211501846,0.7178709947673564,1.7039475477715842,0.0883908869051154,0.09862380818885585,0.39780770428402357
core,pre_etf,5,False,real_rate,Taux réel US 10 ans,1593,-0.113599816798127,0.037951156675357665,0.00275963561345585,-0.0728299424487369,0.008342232023704847,2.540641613861912e-18,-0.04076987434939009,0.03656632194553074,-1.114956937974811,0.26486887536679393,0.09862380818885585,0.39780770428402357
core,post_etf,5,False,equity,Actions américaines,657,1.2349341456514817,0.2376810149018178,2.0388222623226874e-07,0.0733538404439894,0.09696370582958189,0.44934454625950626,1.161580305207493,0.27157330617097264,4.277225628634518,1.8923697607317902e-05,0.1586257263490406,0.21684406222638797
core,post_etf,5,False,usd,Dollar large,657,-0.8039574298255326,0.774489161300468,0.2992474052425024,-1.8580568635050596,0.3233462997944406,9.119736466457702e-09,1.0540994336795264,0.8862848184906388,1.1893461466198636,0.23430348321928574,0.1586257263490406,0.21684406222638797
core,post_etf,5,False,real_rate,Taux réel US 10 ans,657,0.021979692760478578,0.04159478904721857,0.5972049507982373,-0.036540721553607464,0.022079958814498812,0.09793929235938717,0.05852041431408604,0.04701449781060888,1.2447312433247097,0.21323055737414753,0.1586257263490406,0.21684406222638797
risk_extension,full,5,False,equity,Actions américaines,2250,1.046801277246761,0.17320841741839554,1.5071890231794633e-09,-0.08282769900649395,0.036228954494253986,0.022240844701492055,1.129628976253255,0.17913853083987843,6.305896174078624,2.865310731697138e-10,0.11018830550203973,0.2888728104532149
risk_extension,full,5,False,usd,Dollar large,2250,-0.12775680421606467,0.5499108860846301,0.8162873510243824,-1.2543582351575604,0.1461232914213276,9.143437156109597e-18,1.1266014309414958,0.5486059177185909,2.0535714153914566,0.04001719111039523,0.11018830550203973,0.2888728104532149
risk_extension,full,5,False,real_rate,Taux réel US 10 ans,2250,-0.09668739080298684,0.033029253693687,0.0034189038328341186,-0.06430776240590326,0.009031081411263603,1.0736812610696838e-12,-0.03237962839708354,0.03169114708084174,-1.0217247206131586,0.3069112074923239,0.11018830550203973,0.2888728104532149
risk_extension,full,5,False,risk_aversion_orth,Aversion au risque orthogonalisée,2250,-0.07567954197135969,0.03846145658540698,0.049105757267669144,0.0009623587628187266,0.006569285834256611,0.8835316900241772,-0.07664190073417843,0.03758013881274001,-2.0394256954739114,0.04140756008136455,0.11018830550203973,0.2888728104532149
core,full,20,False,equity,Actions américaines,2212,1.758177756756314,0.2321983413857045,3.6786389007484044e-14,-0.15491448745559933,0.052136275797120886,0.00296505442375204,1.9130922442119136,0.2316784492818445,8.257532153474378,1.487151499273679e-16,0.15983233988289336,0.31489420105559096
core,full,20,False,usd,Dollar large,2212,0.9228155919235826,1.0892006450452638,0.3968607291095285,-1.1946869422261148,0.2100600030413653,1.2901799427075558e-08,2.117502534149698,1.0961560559214023,1.9317528035456377,0.05339002394379057,0.15983233988289336,0.31489420105559096
core,full,20,False,real_rate,Taux réel US 10 ans,2212,-0.040203641730393605,0.05036878928455212,0.4247627991276661,-0.07229574818415274,0.01214739039263379,2.6562194509373354e-09,0.03209210645375916,0.0509996825876957,0.6292609056649653,0.5291782610458977,0.15983233988289336,0.31489420105559096
core,full,20,True,equity,Actions américaines,2212,1.8326731692808889,0.2779991909962831,4.328639192098205e-11,-0.19049556743521961,0.053979611033939924,0.00041708874486333906,2.0231687367161086,0.2700350590198634,7.492244688743498,6.770554582039088e-14,0.1549079754477185,0.32751585048519305
