date,factor,btc_beta,gold_beta,delta_beta
2017-08-17,equity,,,
2017-08-18,equity,,,
2017-08-21,equity,,,
2017-08-22,equity,,,
2017-08-23,equity,,,
2017-08-24,equity,,,
2017-08-25,equity,,,
2017-08-28,equity,,,
2017-08-29,equity,,,
2017-08-30,equity,,,
2017-08-31,equity,,,
2017-09-01,equity,,,
2017-09-05,equity,,,
2017-09-07,equity,,,
2017-09-08,equity,,,
2017-09-11,equity,,,
2017-09-12,equity,,,
2017-09-13,equity,,,
2017-09-14,equity,,,
2017-09-15,equity,,,
2017-09-18,equity,,,
2017-09-19,equity,,,
2017-09-20,equity,,,
2017-09-21,equity,,,
2017-09-22,equity,,,
2017-09-25,equity,,,
2017-09-26,equity,,,
2017-09-27,equity,,,
2017-09-28,equity,,,
2017-09-29,equity,,,
2017-10-02,equity,,,
2017-10-03,equity,,,
2017-10-04,equity,,,
2017-10-05,equity,,,
2017-10-06,equity,,,
2017-10-09,equity,,,
2017-10-10,equity,,,
2017-10-11,equity,,,
2017-10-12,equity,,,
2017-10-13,equity,,,
2017-10-16,equity,,,
2017-10-17,equity,,,
2017-10-18,equity,,,
2017-10-19,equity,,,
2017-10-20,equity,,,
2017-10-23,equity,,,
2017-10-24,equity,,,
2017-10-25,equity,,,
2017-10-26,equity,,,
2017-10-27,equity,,,
2017-10-30,equity,,,
2017-10-31,equity,,,
2017-11-01,equity,,,
2017-11-02,equity,,,
2017-11-03,equity,,,
2017-11-06,equity,,,
2017-11-07,equity,,,
2017-11-08,equity,,,
2017-11-09,equity,,,
2017-11-10,equity,,,
2017-11-13,equity,,,
2017-11-14,equity,,,
2017-11-15,equity,,,
2017-11-16,equity,,,
2017-11-17,equity,,,
2017-11-20,equity,,,
2017-11-21,equity,,,
2017-11-22,equity,,,
2017-11-24,equity,,,
2017-11-27,equity,,,
2017-11-28,equity,,,
2017-11-29,equity,,,
2017-11-30,equity,,,
2017-12-01,equity,,,
2017-12-04,equity,,,
2017-12-05,equity,,,
2017-12-06,equity,,,
2017-12-07,equity,,,
2017-12-08,equity,,,
2017-12-11,equity,,,
2017-12-12,equity,,,
2017-12-13,equity,,,
2017-12-14,equity,,,
2017-12-15,equity,,,
2017-12-18,equity,,,
2017-12-19,equity,,,
2017-12-20,equity,,,
2017-12-21,equity,,,
2017-12-22,equity,,,
2017-12-26,equity,,,
2017-12-27,equity,,,
2017-12-28,equity,,,
2017-12-29,equity,,,
2018-01-02,equity,,,
2018-01-03,equity,,,
2018-01-04,equity,,,
2018-01-05,equity,,,
2018-01-08,equity,,,
2018-01-09,equity,,,
2018-01-10,equity,,,
2018-01-11,equity,,,
2018-01-12,equity,,,
2018-01-16,equity,,,
2018-01-17,equity,,,
2018-01-18,equity,,,
2018-01-19,equity,,,
2018-01-22,equity,,,
2018-01-23,equity,,,
2018-01-24,equity,,,
2018-01-25,equity,,,
2018-01-26,equity,,,
2018-01-29,equity,,,
2018-01-30,equity,,,
2018-01-31,equity,,,
2018-02-01,equity,,,
2018-02-02,equity,,,
2018-02-05,equity,,,
2018-02-06,equity,,,
2018-02-07,equity,,,
2018-02-09,equity,,,
2018-02-12,equity,,,
2018-02-13,equity,,,
2018-02-14,equity,,,
2018-02-15,equity,,,
2018-02-16,equity,,,
2018-02-20,equity,,,
2018-02-21,equity,,,
2018-02-22,equity,,,
2018-02-23,equity,,,
2018-02-26,equity,,,
2018-02-27,equity,,,
2018-02-28,equity,,,
2018-03-01,equity,,,
2018-03-02,equity,,,
2018-03-05,equity,,,
2018-03-06,equity,,,
2018-03-07,equity,,,
2018-03-08,equity,,,
2018-03-09,equity,,,
2018-03-12,equity,,,
2018-03-13,equity,,,
2018-03-14,equity,,,
2018-03-15,equity,,,
2018-03-16,equity,,,
2018-03-19,equity,,,
2018-03-20,equity,,,
2018-03-21,equity,,,
2018-03-22,equity,,,
2018-03-23,equity,,,
2018-03-26,equity,,,
2018-03-27,equity,,,
2018-03-28,equity,,,
2018-03-29,equity,,,
2018-04-02,equity,,,
2018-04-03,equity,,,
2018-04-04,equity,,,
2018-04-05,equity,,,
2018-04-06,equity,,,
2018-04-09,equity,,,
2018-04-10,equity,,,
2018-04-11,equity,,,
2018-04-12,equity,,,
2018-04-13,equity,,,
2018-04-16,equity,,,
2018-04-17,equity,,,
2018-04-18,equity,,,
2018-04-19,equity,,,
2018-04-20,equity,,,
2018-04-23,equity,,,
2018-04-24,equity,,,
2018-04-25,equity,,,
2018-04-26,equity,,,
2018-04-27,equity,,,
2018-04-30,equity,,,
2018-05-01,equity,,,
2018-05-02,equity,,,
2018-05-03,equity,,,
2018-05-04,equity,,,
2018-05-07,equity,,,
2018-05-08,equity,,,
2018-05-09,equity,,-0.011304091325728826,
2018-05-10,equity,,-0.006460438292847983,
2018-05-11,equity,1.1226937479243204,-0.006576016784695575,1.129269764709016
2018-05-14,equity,1.1227762339908927,-0.0065953533876112035,1.129371587378504
2018-05-15,equity,1.1335116751324485,0.003876468156662999,1.1296352069757856
2018-05-16,equity,1.1206511381654416,0.003448415815014999,1.1172027223504266
2018-05-17,equity,1.1216135100606721,0.0033704870405555846,1.1182430230201166
2018-05-18,equity,1.1192439062117132,0.0032552191443659833,1.1159886870673472
2018-05-21,equity,1.1227212515134517,0.0035449786461631515,1.1191762728672885
