horizon,condition,classification,episode_id,episode_start,episode_end,condition_days,anchor_date,anchor_position,window_start_date,window_end_date,condition_value_at_anchor,btc_return,gold_return,spread_btc_minus_gold
1,equity_bottom_10pct,market_observable,1,2018-02-02,2018-02-05,2,2018-02-05,114,2018-02-05,2018-02-05,-0.04184256124518182,-0.1849701778973607,0.002528643755518978,-0.18749882165287968
1,equity_bottom_10pct,market_observable,2,2018-02-27,2018-02-27,1,2018-02-27,127,2018-02-27,2018-02-27,-0.012788286983878905,0.03627535941892113,-0.01049377405473173,0.04676913347365286
1,equity_bottom_10pct,market_observable,3,2018-03-01,2018-03-01,1,2018-03-01,129,2018-03-01,2018-03-01,-0.01341390789066299,0.03311930265591201,-0.0022425027652310803,0.03536180542114309
1,equity_bottom_10pct,market_observable,4,2018-03-19,2018-03-19,1,2018-03-19,141,2018-03-19,2018-03-19,-0.014306008195446474,-0.01667613892299258,0.0021646240154513663,-0.018840762938443945
1,equity_bottom_10pct,market_observable,5,2018-03-22,2018-03-23,2,2018-03-22,144,2018-03-22,2018-03-22,-0.025484890016140405,-0.02893616671360988,-0.003961028602094352,-0.024975138111515527
1,equity_bottom_10pct,market_observable,6,2018-03-27,2018-03-27,1,2018-03-27,147,2018-03-27,2018-03-27,-0.017427312133270867,-0.0030438032013524463,-0.006177451915059251,0.0031336487137068048
1,equity_bottom_10pct,market_observable,7,2018-04-02,2018-04-02,1,2018-04-02,150,2018-04-02,2018-04-02,-0.022590592580476354,-0.04902312959555566,0.011618397461990781,-0.06064152705754644
1,equity_bottom_10pct,market_observable,8,2018-04-06,2018-04-06,1,2018-04-06,154,2018-04-06,2018-04-06,-0.022164022802027894,-0.021315775740502474,0.0046789913047762255,-0.0259947670452787
1,equity_bottom_10pct,market_observable,9,2018-04-24,2018-04-24,1,2018-04-24,166,2018-04-24,2018-04-24,-0.01347089561834558,0.06610611961134971,0.004844167468111671,0.06126195214323804
1,equity_bottom_10pct,market_observable,10,2018-05-29,2018-05-29,1,2018-05-29,190,2018-05-29,2018-05-29,-0.011631583739264428,0.007519165689346963,-0.00016231041385150746,0.00768147610319847
1,equity_bottom_10pct,market_observable,11,2018-06-25,2018-06-25,1,2018-06-25,209,2018-06-25,2018-06-25,-0.013819790665146492,0.009979776432711418,-0.0037463887322166656,0.013726165164928084
